wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872156.636277,2.980827,510.660065,-4.160052,2.267803,0.840053,1779872156636-0,0.002151
1779872156.656271,3.000820,510.680054,-4.158235,2.270826,0.838966,1779872156656-0,0.003691
1779872156.676393,3.020942,510.700073,-4.157701,2.271644,0.838679,1779872156676-0,0.001018
1779872156.699203,3.043753,510.720062,-4.154744,2.273095,0.837777,1779872156696-0,0.003415
1779872156.716442,3.060992,510.740051,-4.150360,2.273716,0.836817,1779872156716-0,0.004531
1779872156.736489,3.081039,510.760071,-4.145605,2.275231,0.835735,1779872156736-0,0.005107
1779872156.756324,3.100874,510.780060,-4.144737,2.275992,0.835539,1779872156756-0,0.001170
1779872156.776333,3.120883,510.800049,-4.144004,2.277792,0.835372,1779872156776-0,0.001951
1779872156.796263,3.140812,510.820068,-4.142356,2.279363,0.835106,1779872156796-0,0.002292
1779872156.822628,3.167178,510.840057,-4.136691,2.282537,0.834222,1779872156816-0,0.006553
1779872156.836480,3.181029,510.860077,-4.135340,2.284400,0.834040,1779872156836-0,0.002308
1779872156.856395,3.200945,510.880035,-4.132146,2.287940,0.833662,1779872156856-0,0.004783
1779872156.876419,3.220969,510.900055,-4.131647,2.289351,0.833649,1779872156876-0,0.001497
1779872156.896226,3.240776,510.920044,-4.130225,2.292746,0.833569,1779872156896-0,0.003682
1779872156.916250,3.260800,510.940063,-4.129524,2.294241,0.833511,1779872156916-0,0.001653
1779872156.941399,3.285949,510.960052,-4.127944,2.297320,0.833342,1779872156936-0,0.003464
1779872156.956245,3.300795,510.980042,-4.127076,2.298905,0.833232,1779872156956-0,0.001811
1779872156.976767,3.321317,511.000122,-4.124927,2.302734,0.832945,1779872156976-0,0.004400
1779872156.996293,3.340842,511.020050,-4.123977,2.304436,0.832821,1779872156996-0,0.001953
1779872157.016244,3.360794,511.040039,-4.122071,2.307909,0.832575,1779872157016-0,0.003969
1779872157.036760,3.381310,511.060120,-4.121140,2.309650,0.832451,1779872157036-0,0.001979
1779872157.062405,3.406955,511.080048,-4.118311,2.313819,0.832027,1779872157056-0,0.005055
1779872157.076494,3.421043,511.100037,-4.116766,2.315675,0.831774,1779872157076-0,0.002429
1779872157.096284,3.440834,511.120056,-4.113309,2.319515,0.831171,1779872157096-0,0.005201
1779872157.116271,3.460820,511.140045,-4.111961,2.321954,0.830929,1779872157116-0,0.002798
1779872157.136448,3.480998,511.160187,-4.110346,2.325592,0.830632,1779872157136-0,0.003991
1779872157.156380,3.500930,511.180206,-4.109165,2.327495,0.830411,1779872157156-0,0.002251
1779872157.179072,3.523621,511.200043,-4.108095,2.331663,0.830207,1779872157176-0,0.004308
1779872157.196429,3.540979,511.220062,-4.107610,2.333459,0.830115,1779872157196-0,0.001862
1779872157.216359,3.560909,511.240051,-4.106613,2.337052,0.829926,1779872157216-0,0.003734
1779872157.236408,3.580958,511.260040,-4.106102,2.338850,0.829832,1779872157236-0,0.001872
1779872157.256231,3.600781,511.280060,-4.104264,2.343143,0.829508,1779872157256-0,0.004680
1779872157.276316,3.620865,511.300049,-4.103182,2.345012,0.829329,1779872157276-0,0.002167
